"epci2018";"FAM_1_b100";"FAM_3_b100";"FOR_1_b100";"FOR_2_b100";"EMP_2_b100";"EQU_2_b100";"EQU_3_b100";"EQU_4_b100"
"200029734";70,106428859629;56,727619926327;30,5581595807956;121,793089916951;105,818793450604;257,961948807022;62,5;167,241379310345
"200029999";62,3447984526466;102,620503896334;162,167863254936;105,49763596679;108,622791146466;108,014634487102;112,5;306,896551724138
"200030195";118,502611320209;78,0477630147382;62,6364053585338;92,9170824610377;98,5678821449336;41,3975863552678;87,5;105,172413793103
"200030385";87,9703642321963;98,8239871232936;111,803349204185;103,261823025552;101,034908595373;103,348509221301;62,5;100
"200030435";94,5494242867565;58,8539167135975;107,154650937768;114,913922677804;106,853724795983;231,010193154325;56,25;96,551724137931
"200030526";70,3500418041459;93,0529318517832;144,12221468438;113,020585738316;105,718507162591;112,815196865425;131,25;60,3448275862069
"200030633";102,61217090126;127,640718357745;141,263714715128;127,911105508446;117,036707348565;116,937932909252;75;24,1379310344829
"200030658";71,4034703595287;92,0907734846874;95,6661713691912;82,564693304574;111,225239475454;218,730581558082;106,25;815,517241379311
"200030674";95,5075863192536;77,2902223967877;81,2692970094974;122,937627004327;108,562371358528;135,692898683884;56,25;36,2068965517241
"200032514";84,6246838444836;86,3029688144743;101,359942074527;124,683472683147;124,254829837013;282,024396309634;112,5;132,758620689655
"200033025";91,4669807101745;75,2453714740151;151,530333412065;115,566831867388;111,285559694453;142,903157472272;43,75;155,172413793104
"200033090";64,5223093829813;115,063589906565;56,9381069851496;85,4227253032076;109,738398861928;120,066665474299;181,25;105,172413793103
"200033116";92,6480342298102;111,501218793585;58,8530571568887;113,133818422463;88,0368098036177;86,4323851937951;62,5;70,6896551724137
"200033173";68,1733604794399;100,155672577882;55,9776151962107;58,4723364700544;103,345729085828;124,801817318467;137,5;0
"200033181";92,1636005508144;101,789898968952;56,1652353999085;102,764618335975;100,780103133512;120,579685664994;93,75;39,6551724137931
"200033207";111,505890291678;91,5552428532101;115,380407180351;131,412308370937;116,799872760587;32,425011515735;25;77,5862068965518
"200033298";58,2939179478158;116,899953670113;145,550864710989;126,160901709074;109,092254728294;203,541334052361;62,5;263,793103448276
"200033579";109,067287629205;98,6577933000179;135,919020714394;98,3853470840654;95,8728429860536;137,025373874612;68,75;12,0689655172414
"200033827";126,599473509462;73,5118081751563;60,9106941625428;106,12610688751;112,264346266595;150,220477654907;75;912,068965517242
"200033868";87,5394199881807;86,220537489564;125,079575722102;133,043267739542;97,6320307644952;74,7315583444375;75;229,310344827586
"200034023";82,725837599414;72,1937754208864;48,1057942688863;89,0618311913582;107,866071690918;97,4826875188075;118,75;24,1379310344829
"200034031";70,8695244079295;58,5580290542529;112,483173639044;104,9060053204;124,814857795752;232,232469308581;112,5;781,034482758621
"200034049";66,0042183724379;66,1463263464801;112,483173639044;106,923048620371;128,561983464005;153,349157722786;137,5;584,48275862069
"200034056";75,6639455733084;74,3733251160589;117,718728907952;100,68706019992;125,045544902527;181,491015366205;112,5;362,068965517242
"200034064";113,189901713998;42,3824632199352;112,483173639044;96,0717644578769;118,097309474155;285,698320513308;50;1079,31034482759
"200034098";88,164350456554;56,9479411395308;58,8530571568887;89,0254706812779;104,223669896595;111,878001549751;75;237,931034482759
"200034130";54,9826653606212;98,6309973878633;38,280990259481;56,7287356678992;92,8344253070282;99,0043684947108;200;0
"200034197";66,4004595999028;71,5048200206267;96,8082495519604;118,711285222383;120,903100811804;288,291676611841;81,25;98,2758620689656
"200034205";112,305021593915;52,8651714551789;71,0698771297539;106,035215851141;114,569621057649;189,135703963952;100;632,758620689656
"200034270";74,3949471231363;81,1439894579573;128,772084473473;102,340905543663;99,0853354899001;101,927574402092;87,5;46,5517241379311
"200034379";89,7752894810336;67,3729059183009;74,9198281523417;94,9497526522799;97,3341055470203;139,621545313054;68,75;124,137931034483
"200034411";89,2434245399862;72,3279141074379;125,389858039512;100,989728261871;99,2338774086617;169,149163986915;93,75;181,034482758621
"200034601";104,321990461784;47,990132199206;125,389858039512;99,5794955537931;112,821893400911;116,359715959919;37,5;1377,58620689655
"200034635";63,5210854577714;62,8093240961178;64,0907680897692;81,4621645585095;102,34566185271;181,955937695708;143,75;124,137931034483
"200034692";89,5125492797051;89,2388187699418;143,635135545831;104,129439911841;104,243161492277;73,6873965312273;87,5;239,655172413793
"200034700";100,165230660076;83,1114258903115;115,27718854293;103,108090132066;104,123473666971;78,1191306819899;56,25;212,068965517241
"200034718";96,57555610294;105,408240258117;159,712811952666;129,677367000227;107,874864966861;175,606288643903;43,75;151,724137931035
"200034726";92,2641841176762;73,4133227158797;131,497539907827;101,555648604308;121,969647631756;247,510921236777;106,25;248,275862068966
"200034825";94,8363436711421;59,8207704556405;106,402021018399;107,64915091407;99,5601267265393;135,940613663891;56,25;94,8275862068966
"200034833";69,2840761294451;44,1823010508405;106,166039793339;117,010066673614;116,572195215456;260,307828892146;43,75;241,379310344828
"200034874";56,8730074412709;102,175931028214;109,175145802012;112,022943876586;109,922511369318;321,281585783672;106,25;893,103448275863
"200034882";85,1789120780537;66,8143261117669;119,942509799656;94,7146725355309;104,792299720062;71,721914676566;31,25;31,0344827586207
"200034957";80,0289237785173;70,8273783861218;100,114351388511;82,8702097778559;103,722564036439;91,2440750670788;143,75;22,4137931034482
"200035087";86,9916351038585;76,7408196764356;95,3500860783168;104,432837986098;111,840614569481;100,653404173598;100;12,0689655172414
"200035103";65,2474398359703;97,1757369901248;57,7269531226636;116,580979775843;123,145251009315;379,900483758774;87,5;474,137931034483
"200035111";69,7703426167039;104,57218116433;0;123,750301240608;110,776762287616;236,868981488732;75;534,48275862069
"200035129";108,224513338494;66,2219672103452;125,389858039512;123,042595592051;109,317247949591;226,740774000124;62,5;168,965517241379
"200035137";66,0099748328009;43,8166508749052;110,51084172501;130,278829684988;112,939605492159;234,484030645368;56,25;1046,55172413793
"200035202";68,2763435711933;97,8156729247596;112,865758249574;116,646935527379;108,425634062439;160,517286788477;87,5;17,2413793103448
"200035319";90,0652171765186;59,4623315233496;96,9756311828174;101,723165968542;95,9828946877752;47,2825868306335;50;3,44827586206902
"200035327";53,4815088122508;43,0219013046025;77,7673979535757;105,868309671276;88,0772092913588;194,179838760344;68,75;632,758620689656
"200035442";77,7264532416556;117,835130919762;210,240137915874;118,477875910292;97,4428250988362;245,606991073417;93,75;408,620689655173
"200035459";108,477961326261;78,8725380481972;125,271717032031;101,282745779163;98,0482157947844;120,962456788265;81,25;86,2068965517242
"200035533";82,8527518778176;62,4704756524665;97,6910888195667;108,681368925914;84,634148827394;206,579592419596;62,5;118,965517241379
"200035541";64,1381298652491;53,6658876018808;210,240137915874;118,317618768337;94,448162337554;242,840903854951;93,75;810,344827586207
"200035632";84,2623204146757;61,0807513295299;134,166403801577;116,070871375894;102,676486602789;350,05116003487;56,25;539,655172413793
"200035665";106,89878592169;118,616886732993;141,424422670214;111,658653843669;85,2081319472596;95,6915116770014;81,25;12,0689655172414
"200035707";88,7809124852779;97,5419841354771;111,555991547198;104,668778162111;111,755281557417;192,02098581873;106,25;515,517241379311
"200035715";108,312228625059;81,7899792701762;63,7655124652328;102,009163618266;106,990218619146;96,8007736474517;37,5;208,620689655172
"200035723";97,519770088191;62,3479569778327;81,1773200629621;100,284375234954;103,922167963232;143,545779480604;87,5;520,689655172414
"200035731";87,0655782359882;91,8917570442485;111,706110707132;115,723900658242;105,284462958922;117,415048025037;68,75;82,7586206896552
"200035756";40,378649102401;61,6320733819543;119,648858976513;108,389673903453;119,780332963773;408,037173668297;93,75;306,896551724138
"200035764";65,5589981964178;89,5393556431207;64,3372509115158;107,129292018982;105,626511152799;142,828882864233;112,5;306,896551724138
"200035772";62,2977426699722;104,022802215353;59,8450997230301;102,601887720396;118,167186887996;301,70278609704;162,5;477,586206896552
"200035814";73,3258472294857;94,8247125655277;119,548313716869;124,965715670516;106,343423607809;188,624976813599;50;94,8275862068966
"200035848";61,797797587996;42,2378044197617;95,9277512395371;134,614169487961;123,905866706072;238,716116928871;62,5;767,241379310345
"200035855";88,8316068426843;81,9802456845514;111,555991547198;98,180613982302;100,72575181604;170,104030811376;62,5;158,620689655173
"200035863";92,3993363503112;68,6136829474304;68,4602488522797;111,340004432602;109,114662850859;133,981959759309;62,5;303,448275862069
"200035970";62,5325507325519;102,648653532475;103,699527485532;82,9001461482241;110,030885708987;153,144647789402;150;81,0344827586208
"200036069";76,8227959791229;87,2918087072063;71,7893153859081;122,860368421631;107,826061347645;265,025045169419;56,25;34,4827586206897
"200036077";88,727912119815;46,2615257715937;13,0421921784041;102,338865708303;107,538924208415;76,3540799679157;31,25;65,5172413793103
"200036135";84,7497212964102;61,1290074732517;59,9940840206587;130,605182468178;112,402415215731;159,557899027143;18,75;46,5517241379311
"200036150";80,6562093210508;80,6108228018605;112,37899955094;133,997243045215;121,674065189992;290,313561751408;68,75;527,586206896552
"200036465";83,1060995097393;83,2271414767671;159,957986151082;111,255674732016;107,724595816069;97,6349433157368;87,5;0
"200036473";86,898553670246;61,4833671483904;88,232785152739;110,119490240019;102,545235181596;136,777688757904;68,75;93,1034482758622
"200036499";108,489908902766;58,7750061949738;71,0698771297539;93,9938145244637;111,941244801138;143,031141843375;137,5;384,48275862069
"200036523";79,8464957832467;67,476579651338;111,444365789553;117,300021202756;110,711105156459;253,321036758767;62,5;439,655172413793
"200036549";86,6525010388539;95,392320332756;86,1563148697567;122,403074656738;121,299093290204;217,979575269471;62,5;215,51724137931
"200036572";84,9465439095471;69,1773904513001;125,271717032031;104,224291873261;123,525524780149;225,831132515307;150;651,724137931035
"200037059";92,1750670489567;98,4367588460874;76,1944123990415;128,343239412296;100,878800391169;224,587090947733;68,75;298,275862068966
"200037133";92,031609046718;131,866552996513;106,313108832617;116,550911653357;110,216641397702;132,569264155113;87,5;203,448275862069
"200038958";98,1125690522978;45,9654005813708;94,4762818406915;91,0359518288338;108,882712674791;198,008736989422;175;884,48275862069
"200038990";56,3417102639605;126,138154077272;132,463439496128;109,767369235369;95,9989716949001;120,056058806333;87,5;100
"200039022";58,5452283210801;123,837623251196;108,558575886467;105,272154742775;84,7581829850815;119,230074371895;81,25;84,4827586206898
"200039055";48,2312064640316;71,6722672444859;69,1193274952735;84,4477274890215;129,586074791167;197,85712233629;187,5;348,275862068966
"200039063";45,5717388814258;82,3178005713676;69,1193274952735;91,5143487305957;116,708833036978;315,290835052387;162,5;772,413793103449
"200039204";85,1391660697763;70,3988589247327;146,809052662318;111,147843381893;113,743322551315;139,712954854504;75;79,3103448275861
"200039519";76,200715978901;51,8535440539686;77,7673979535757;104,396120050964;108,221475628024;221,6968987765;87,5;625,862068965517
"200039642";86,1679546873985;87,6987652693382;128,077325397026;127,681533892016;124,664116831779;217,137518369601;62,5;581,034482758621
"200039709";52,1110681528456;75,5334530264027;70,0800459719579;117,575938708906;127,339613465648;339,443549124723;93,75;932,758620689656
"200039758";81,758178948202;76,2073117561719;70,0800459719579;118,726547440646;119,898776805453;210,040163850777;43,75;379,310344827586
"200039808";76,5125690403591;55,4103649115245;69,9812024656505;103,548607231986;109,231477403525;168,851044437735;50;650
"200039824";95,4302145001218;81,4240156155951;69,9812024656505;112,012282114418;99,5506095357209;150,898851609039;81,25;708,620689655173
"200039832";105,314569831891;53,8000329301251;69,9812024656505;99,3209193826287;105,529245814655;231,234692856127;37,5;298,275862068966
"200039857";103,447242224055;76,1278828492178;88,5905881500634;93,100044815569;107,519603526451;84,0727473048466;131,25;177,586206896552
"200039865";111,64775367908;89,8048867104547;95,6756877624972;96,5815298232574;90,5884017994092;84,2472089232684;62,5;8,62068965517242
"200039907";66,9194576857453;85,8005715126366;210,240137915874;93,7491434715333;103,388403240444;193,446323694734;143,75;393,103448275862
"200039915";117,246542402132;62,1553679496932;55,4749225557355;99,2897976501482;92,1346841720753;84,6410404229393;93,75;0
"200039931";91,6159252887349;71,9475826434633;62,6364053585338;107,374296794293;113,70557829722;119,888102474064;68,75;1353,44827586207
"200039949";89,6809163985459;85,0725892686527;210,240137915874;110,365231914493;115,902199957813;92,2803363931952;87,5;6,89655172413803
"200040038";63,852932937993;91,7792527178888;107,829075282775;118,171749618723;128,56177326022;227,779281361957;143,75;512,068965517242
"200040095";92,5133567080885;68,7009533089727;111,502358858954;122,062459011775;115,334456718844;158,015446891276;81,25;129,310344827586
"200040111";81,8046454338775;93,8717728941616;131,904467732792;97,88770976623;125,48478600948;143,433890752054;87,5;396,551724137931
"200040137";99,529541701774;87,9095978591257;108,380565796444;128,069512311542;122,281284470658;268,623468057337;43,75;670,689655172414
"200040178";66,1851631681461;51,540866548857;140,878125201825;121,019868021263;97,4189075595537;97,6188111748102;125;241,379310344828
"200040202";75,9427386197236;89,5093563258187;68,649840952122;104,917713981325;113,775501967022;104,271315488678;112,5;650
