"epci2018";"SEXE";"FAM_2_b100";"FOR_3_b100";"EMP_1_b100";"EMP_3_b100";"EMP_4_b100"
"200023240";"F";102,550244636655;103,365256804041;95,8735652539697;91,9213746126556;99,7402413295735
"200023240";"H";46,0172741094763;110,315247789704;85,934902165792;22,9162645774919;99,5612896786806
"200023299";"F";79,5643478329315;47,8258740445661;51,1989306297839;80,3741628593063;228,06305962881
"200023299";"H";34,5547958683168;69,0336717129759;42,1845844534612;38,5458652044073;241,71190348535
"200023307";"F";117,519157108031;146,218155055461;117,680820431518;101,710166298642;109,60367674878
"200023307";"H";75,1775138175069;135,951179278989;114,325409909197;32,5431013744672;105,611042441301
"200023372";"F";70,9332861315118;43,1730126073491;37,3127287610447;92,6435399647703;192,908135350728
"200023372";"H";33,0520241515922;56,6908927220286;33,644383400388;45,3231326836591;212,241799971774
"200023414";"F";94,9654862894902;97,9405247221157;110,559388860337;97,4199345296667;98,5106548147186
"200023414";"H";49,4678532807278;110,986308805248;119,391979352918;29,7614427018487;91,4359481829376
"200023620";"F";73,5750114952023;72,1932092830771;59,9748156989568;110,820328878145;101,454610715669
"200023620";"H";28,948268123479;77,4769113671451;46,7306285022404;39,1421435096761;91,375165423187
"200023737";"F";73,6947797397049;97,8905642076719;98,4519609339517;98,5309473364904;91,369434928765
"200023737";"H";47,9661776080541;122,068483638766;105,766155420164;33,4024533590224;92,131611985257
"200023778";"F";79,2800480408621;119,592937313184;106,51533969002;119,159942892171;100,569178103942
"200023778";"H";33,2916412205278;109,097038613015;83,3650154384575;23,4094566217763;97,7345962761408
"200023794";"F";117,000907779145;139,436369817503;114,63531580879;124,592092238053;132,910270090295
"200023794";"H";49,7244139486933;138,493873961979;87,473394917064;38,4192924651784;103,039341144502
"200023919";"F";101,390934156499;122,763650369957;106,037407017039;98,1181527947322;112,673396832045
"200023919";"H";34,9841655609355;132,162445644697;89,0371044731312;30,3854428489285;78,1014081647235
"200026573";"F";105,071641146462;121,501303114168;95,1345436379938;96,7896389197262;96,9056969194643
"200026573";"H";37,0694145612888;105,102058271235;93,1567250565282;27,5243305903099;96,3680125401604
"200027027";"F";73,6620921300368;84,6526678693071;83,3808771659737;116,655077490169;118,053111752639
"200027027";"H";45,4514439401582;100,549873100572;73,0740343464115;23,3055778077166;96,8191739645945
"200027076";"F";99,9813143967155;144,613629738244;92,0343234208682;111,365074691037;106,705725439643
"200027076";"H";51,0227788983449;147,342895030968;84,2228423491425;22,5112582656811;102,184280378537
"200027100";"F";114,77579301922;114,254599673891;99,6245248659163;91,9528262064634;99,0257583604434
"200027100";"H";58,851906820177;119,095782770258;87,2404562562208;28,4977219125198;95,760935181864
"200027183";"F";157,523558365814;161,200405665262;144,100323443332;104,738843674791;102,916677527943
"200027183";"H";87,6856391539334;168,10024956534;140,908969706086;33,8213376366816;99,5759719608456
"200027217";"F";91,6024747329027;157,781918039769;115,671620779751;85,4872631563928;97,0143639087938
"200027217";"H";52,6063776939214;143,756514223615;97,2308142308961;36,8873439833676;96,7377312709258
"200027308";"F";81,023875708417;103,289770991612;75,4136190877766;116,549583159826;118,376134178659
"200027308";"H";20,8378700326812;98,2504288521918;56,3241399837837;21,9783021573193;79,3562511562248
"200027548";"F";167,249185535592;161,254696420843;260,715626076012;66,9423904844685;157,958532539566
"200027548";"H";57,762623348572;145,426249738496;148,333896770445;24,654687241885;125,004680369963
"200029734";"F";92,6366993561107;138,800504714798;86,4143263615726;117,385005087556;129,228750963995
"200029734";"H";36,603582744;99,3786428782209;73,1231661000385;36,4166859035668;105,807560699861
"200029999";"F";83,0352219261752;106,698193223869;81,496800898054;117,381086040791;103,200294046249
"200029999";"H";24,1974976242346;88,7412544810005;73,1674671813583;26,9785459283365;96,6817666649963
"200030195";"F";110,524907192792;96,3085065832594;98,5489046549199;92,0902551944951;85,9523652886707
"200030195";"H";56,3787224243648;110,665058774882;92,3773388116776;34,7393658862214;86,0710527469165
"200030385";"F";86,4977032676788;105,249638012403;90,031072476335;85,1977109860518;95,910492016895
"200030385";"H";45,5285654418403;100,387534370079;89,8495437662958;26,2423234486338;89,1693713933137
"200030435";"F";91,5158522693662;118,179867543542;96,7430991063486;105,370872783386;118,74692375491
"200030435";"H";54,108245047348;106,790088485256;81,3087998530273;27,8770926181785;92,707778317088
"200030526";"F";78,0217152924929;106,97410234027;84,1016226389285;123,317590919793;112,791324661755
"200030526";"H";24,8426668096349;88,9708708209502;63,5966400104093;18,9605808354093;89,6967574798481
"200030633";"F";144,130560410664;166,856497058189;151,079989301575;108,762283935889;119,884250369785
"200030633";"H";57,736187725972;164,966092303397;140,507573127894;31,9286576380299;106,14493506903
"200030658";"F";68,4613852496836;59,9867647107327;69,5566185219427;162,063989142184;140,51590762683
"200030658";"H";36,7118839902706;84,1330759382105;63,7517708836198;51,2996050806775;156,803880543087
"200030674";"F";116,304928575631;123,494610869687;115,605049684645;101,760834464363;121,33545121667
"200030674";"H";53,6352137847822;111,425192164574;90,2319292352871;26,3275483343281;105,22741152344
"200032514";"F";105,003277970046;138,411508105679;101,917912367954;96,3880766915658;170,144687950703
"200032514";"H";37,688666985208;140,403848649915;96,9741759789453;43,936489105506;119,708705513334
"200033025";"F";100,563608538733;123,736410398607;96,2784204474532;103,911813732071;94,3380322192381
"200033025";"H";53,1411997696286;106,607458977168;98,9439412625907;29,4256064983964;98,1033080776255
"200033090";"F";64,3627411626561;83,0009656950999;52,3942079804859;97,88553806539;88,6899640087201
"200033090";"H";22,5153509978416;78,7183615795852;54,8728095844066;27,6783657276478;78,3016124443778
"200033116";"F";104,554629996118;123,476698977114;111,631638657103;76,0531618198695;113,49081869437
"200033116";"H";39,9510681025299;95,7224736840347;80,7992110580774;24,7247813857467;96,1789198948085
"200033173";"F";72,5341081822391;42,8244157068201;53,7849056065605;92,2544699372174;74,937816527883
"200033173";"H";24,0017540432783;60,4411721240379;48,5246781849528;31,9810946356468;74,2408545193419
"200033181";"F";72,9154223890948;95,8259890819979;85,4130912048251;90,2940648779196;83,0541260641043
"200033181";"H";36,6938558406743;109,180303279265;79,1235556589547;24,0904733187055;81,9142860201275
"200033207";"F";139,846852626334;161,518933132072;139,582644863491;100,416058075775;93,8455064546117
"200033207";"H";59,0627598583313;157,549000835239;159,404517860624;31,1414873906466;81,7157452363828
"200033298";"F";76,3527844076815;84,649684611302;72,1076427045487;93,1792340864663;115,774378649072
"200033298";"H";39,9434302250712;89,9912901276894;59,6522321906034;23,9173475707031;88,8985320730232
"200033579";"F";102,50618627604;117,861700286765;101,953988951596;103,244261157222;94,0555503295246
"200033579";"H";48,1730817527852;117,94645002235;107,067818183394;26,0679018208914;78,0554443013039
"200033827";"F";177,030732361209;157,700420570264;141,234033808056;103,440742343616;112,782678237452
"200033827";"H";66,151469846803;130,334510302257;92,3302269900463;29,4055470087898;149,217237325008
"200033868";"F";110,138365124861;124,88424273326;127,561336886229;130,171054995978;108,834230444104
"200033868";"H";38,6017149742338;119,768473565679;115,828085372613;17,5691366943931;82,3225477266688
"200034023";"F";85,7034399219836;86,9444631674114;74,2653505468595;122,973760597231;104,849696990469
"200034023";"H";55,2837201441671;138,51998807945;67,9273185179792;35,7716764444784;94,3204215847911
"200034031";"F";86,3457204315835;80,6679420691293;68,7862429080648;142,742741424111;136,472261623387
"200034031";"H";52,0791451594832;96,2280625212903;58,7698639865155;29,0406848699603;125,38303210429
"200034049";"F";89,4016765246401;93,6248835780664;93,2848421798037;133,75963407773;99,767674175339
"200034049";"H";43,3820711954335;98,5270846414371;72,3101675704939;33,6038838116512;140,13978934827
"200034056";"F";85,8145614417562;71,0862945131049;78,7095128430781;167,158078084502;137,478709444034
"200034056";"H";39,3023437934534;91,6363464033978;72,018769815197;35,6834324619;118,784036947303
"200034064";"F";87,0767065128035;108,302805449624;96,0705744257228;170,631932477829;141,605037675216
"200034064";"H";57,5875649402096;127,839956373385;100,324392843362;50,6691699101398;138,069828430423
"200034098";"F";55,727931545793;51,1827023712024;43,4568153694408;88,2132745246451;210,342024589662
"200034098";"H";28,4371342719312;66,1129612482627;37,3196559877159;33,883134347715;239,451471607159
"200034130";"F";111,764817688003;52,0795490689987;58,8023237930717;120,957271988402;105,103240324483
"200034130";"H";29,9061892142179;53,7879473730175;51,941359915361;36,5413227999833;68,4384858793366
"200034197";"F";108,357097069974;134,520074350191;108,438110839222;111,580732816226;135,697278956787
"200034197";"H";50,489413278968;148,347201823765;81,8515715595814;37,830661553059;125,216393721847
"200034205";"F";200,466693778898;174,213432368394;137,587980945059;118,906184006562;137,194241398981
"200034205";"H";83,5407761916517;132,594111725809;89,3500831059073;32,3194779415364;106,593336399917
"200034270";"F";70,8990253545686;83,0301480591461;74,5927214718164;125,227952221042;98,6687561670581
"200034270";"H";26,9629129753607;100,967384361794;63,60553130487;29,2154178878097;129,631023171355
"200034379";"F";111,254997970888;118,662568400876;112,247548600231;140,432814249195;133,369325687738
"200034379";"H";48,7530972972436;119,846218907929;98,9711784399402;40,2888418143837;104,301608956316
"200034411";"F";112,283452864045;120,105340613436;117,152215175272;140,65450800199;146,911106687369
"200034411";"H";55,2613795616485;122,987798420785;106,84873804268;60,5472734656704;128,713023019338
"200034601";"F";108,988376191559;112,032364441048;121,904490280551;156,036236873041;118,792363402414
"200034601";"H";85,7208359517121;127,832751115476;127,875631782865;56,2995774282662;133,917878669812
"200034635";"F";44,0033468662307;45,1242884908395;41,2766507724025;104,813411151694;73,2447698535596
"200034635";"H";14,5247633811875;54,0357296364607;41,695570046917;24,6492189066527;96,7497764545714
"200034692";"F";146,291562422982;129,015995441982;119,340937670523;125,579408272461;110,949218133016
"200034692";"H";48,3274138445608;136,642800439331;89,431629863561;25,8734433054081;108,812307276428
"200034700";"F";115,119019192556;119,62037987926;113,537042507847;105,572568151649;106,453121553875
"200034700";"H";49,8954875492823;124,267510114609;93,3672095155371;33,1295860629996;99,3619118230172
"200034718";"F";165,122199353486;156,606473151092;136,641908959163;111,92345627433;87,6251557709928
"200034718";"H";58,4367728001228;172,727735623211;118,884947500281;17,5169256682096;74,3753357112168
"200034726";"F";83,0916484275831;75,288403634073;69,3133860506994;102,786102227861;141,068742277505
"200034726";"H";41,8361441298627;83,1075880044803;52,183234501936;39,0859661509993;75,695107565283
"200034825";"F";78,161430102536;123,47402265854;80,4320471468674;81,9176119068246;81,2475456323405
"200034825";"H";50,9070242349437;132,255019773899;97,2201899338741;33,5920463241035;87,1415075274613
"200034833";"F";104,740629723123;126,915752952022;107,049502830576;110,230481736645;120,985339469106
"200034833";"H";92,8727326896389;119,225460579145;89,979185429539;32,7251804685637;121,591764398966
"200034874";"F";117,872704822649;92,5405640466968;87,3649260590161;113,082280851204;160,666161628604
"200034874";"H";26,1319267068521;66,6755648691647;63,1895791145609;19,0038662189425;88,413118817801
"200034882";"F";65,6165144169402;50,0391665052478;46,9091726467754;101,811812155249;152,427796804781
"200034882";"H";27,6112967329588;60,7810528074452;36,4407525911612;30,8333729869626;157,967321613572
"200034957";"F";71,5376088079311;86,6012066160555;72,0175930789907;100,647418516693;86,8007936839364
"200034957";"H";34,4128643701187;83,9613160259283;55,6645069826991;23,6403493059132;78,1708441124438
"200035087";"F";105,873326846706;114,724245178145;100,177584704994;118,60408994545;116,143230006528
"200035087";"H";39,1818814015182;116,148635663348;86,5488390126846;31,6659955956715;113,862732150979
"200035103";"F";83,1568641795284;94,6683852689499;84,4526378371333;105,790435638391;93,6853883967983
"200035103";"H";36,143161346245;88,8399556115383;69,9208889687771;33,4303068527966;135,368661013158
"200035111";"F";74,1127499602194;89,1869528513521;83,0892636132587;99,844348630982;91,3131936349448
"200035111";"H";42,2799953381407;105,548919472113;82,1915502690314;37,097012658588;97,1852809289101
"200035129";"F";160,679620102553;177,463755512761;173,052305396924;142,87642953211;138,148456833025
"200035129";"H";74,1772164752066;158,024529681423;151,678693265067;61,9235688433393;113,567875374831
"200035137";"F";105,223228914711;96,7823942068925;84,699441060776;142,446884473592;113,153208454049
"200035137";"H";57,307471530089;111,736217219137;83,8229387336974;46,9738844624994;96,7371816798108
"200035202";"F";70,8508392758196;91,5397263719017;85,4868319129817;123,019251024377;119,236261127332
"200035202";"H";28,7316405687358;89,0715393383778;66,6694217892111;24,69895247077;99,8629650502949
"200035319";"F";131,777988389397;135,941304898458;119,109342703256;93,7101592479046;93,5327852556851
"200035319";"H";53,2596155841418;121,77086344294;97,557149928364;27,9447398617821;108,293725095012
"200035327";"F";99,636292862309;107,017314547367;90,5957864878473;121,702001683516;107,193893494884
"200035327";"H";50,5861914637314;109,547697474177;90,095388586845;37,0151857903128;85,5979253310438
"200035442";"F";125,880030183849;117,541988814848;90,2942037461389;106,256586719565;161,875491181228
"200035442";"H";83,4235346125833;111,264587100879;75,6014376793306;33,5713149235094;116,274541318443
"200035459";"F";96,5569611090673;103,723991906399;96,4121313498234;89,126710984187;91,9894107418456
"200035459";"H";55,1677350671757;117,201371457312;88,9033787582298;28,3733412054899;113,987897760482
"200035533";"F";78,4403103060495;112,047508388649;85,0116505756965;109,182340890518;148,011528555672
"200035533";"H";32,8688458247176;109,203307343266;61,2883408670611;42,8657966219975;132,820838797771
"200035541";"F";98,6549722554683;102,122410259624;96,3139583673029;111,809171366698;131,974591661477
"200035541";"H";39,8616712215738;95,684081772952;75,8259219984089;23,9792890227699;125,913821670493
"200035632";"F";113,441274483996;90,3983753400001;81,4940411126433;108,760906784041;119,231539925906
"200035632";"H";72,0257998844689;83,9210547248169;61,4062107299709;50,9484608831266;172,545487706175
"200035665";"F";111,230393771633;119,810102321472;105,471050316557;72,5750975599178;130,166385699239
"200035665";"H";67,6032507640747;149,844696895421;105,304252742046;21,5368380121809;97,5769915850744
"200035707";"F";125,7332069011;151,879594650484;123,895394372653;111,612824512682;144,488848572304
"200035707";"H";46,4683534433733;128,500259500362;97,2772570417491;36,0000939143213;108,92735867698
"200035715";"F";123,083106990895;142,370233664016;135,868538007954;116,356250099855;108,788349598994
"200035715";"H";59,093762077822;134,627686591338;123,62582684602;33,3428488860587;113,587322557409
"200035723";"F";120,347201535434;126,270814610082;121,275184295952;131,193187565967;139,830141712327
"200035723";"H";36,4012550899391;89,7305273863393;75,9605815830007;24,906031546254;370,745715600581
"200035731";"F";95,9505632795263;114,230525233043;106,443091299059;115,119588947535;90,060670470387
"200035731";"H";54,0475020356667;109,261878307182;90,7280078512317;27,0029123446908;83,5298446033796
"200035756";"F";80,8097325416169;110,419010735267;81,1640524344716;151,921105332777;155,787689702188
"200035756";"H";36,9557015179635;99,0838712933641;69,2180828045827;44,6074967012661;119,855169052551
"200035764";"F";59,0103569033905;85,6949048501265;61,2166419741265;61,3021416027116;101,866872492352
"200035764";"H";83,3444667134303;148,970932610616;54,967545701974;13,155969581015;104,418571645395
"200035772";"F";69,1488717316248;84,8687461051572;59,6667529458823;129,816755649691;108,356681308273
"200035772";"H";33,9140788520524;92,2072519986145;52,7166446918792;25,7026838792136;112,950784806409
"200035814";"F";89,9448555091596;113,290567370153;95,966879017576;106,810941360141;115,47330828669
"200035814";"H";45,3783156879282;111,971673254791;90,10904639875;24,5021535070855;80,8132773838704
"200035848";"F";94,5271635572818;109,04455745971;98,2879635014059;73,9057609130834;96,2990895703566
"200035848";"H";44,8292508495056;129,558519431389;88,4059227671351;32,8913079461054;92,1214902679518
"200035855";"F";108,002361122181;122,838004424188;115,62520578457;113,754368537651;118,668489818006
"200035855";"H";59,6092799627167;143,657476093139;89,3584304902412;29,1502918359005;144,318630991807
"200035863";"F";146,950862661384;179,442519757171;138,546252242437;132,280726877661;115,848347079288
"200035863";"H";69,6211615425753;159,1026909058;121,953854817805;39,6502721395783;129,404605053908
"200035970";"F";55,4350900422253;66,8820513614086;56,5763860550719;74,8999357068109;101,497500949304
"200035970";"H";22,5509089574347;76,2033627463194;59,2978413451381;21,1106100363109;84,0903075488946
"200036069";"F";88,5825666024619;110,362495176148;81,676485629298;89,4846435347054;99,2705882982992
"200036069";"H";56,9735245689283;113,110169543349;89,5638191549238;26,840535759188;90,5015362260678
"200036077";"F";121,853746704109;142,89397222556;125,551445508307;84,6990062776776;99,1717835891048
"200036077";"H";50,2817835002142;139,534819643231;95,2340773429212;25,8051957755878;93,3241452298614
"200036135";"F";101,064313651712;154,029161968918;116,119625809677;90,4359719770149;84,2033929178117
"200036135";"H";54,6693432654465;133,974089881224;117,863835062671;27,3144556155928;90,3384587767461
"200036150";"F";124,860239816034;129,79082882307;108,04244206691;137,190933540089;123,232697247354
"200036150";"H";44,3268404720572;137,248357507195;85,3213159736537;26,0272411690629;123,513336209908
"200036465";"F";111,446479115196;117,299116547473;87,1800776738585;110,230017657716;98,967839945602
"200036465";"H";52,3227401437867;109,928812586919;76,7753385518422;22,9920110915473;77,9712627057606
"200036473";"F";91,4976490419495;114,840539043656;98,35220998717;104,976535169798;102,7068434019
"200036473";"H";47,0517628332605;116,622852479754;92,8346588651971;30,1849643511892;94,5369403451903
"200036499";"F";171,018775490973;125,561037591927;101,486067413293;81,3753519333818;85,8828607447932
"200036499";"H";90,5495847285788;126,741389387508;55,5186095945969;17,7375788849444;61,1747441424602
