"epci2018";"FAM_1_b100";"FAM_2_b100";"FAM_3_b100";"FOR_1_b100";"FOR_2_b100";"FOR_3_b100";"EMP_1_b100";"EMP_2_b100";"EMP_3_b100";"EMP_4_b100";"EQU_2_b100";"EQU_3_b100"
"241501055";50,8631904576573;110,817533785853;53,2539304949881;74,3532195068334;129,767737290691;108,515015584739;65,9783419137502;112,908334945914;113,509482123045;123,547660786213;203,05185495564;56,25
"241501089";75,5138262383272;57,1865995854282;48,2832677532734;109,334788703892;118,009362025429;93,5336819758355;60,3780937705308;103,709675824189;96,4308243721443;104,754466989826;173,861330039492;43,75
"241501139";77,5793440829524;62,0835099882191;46,0660915405282;109,334788703892;124,059682815246;86,2668309219557;60,4552798321003;112,80286703227;83,3431835350312;125,818029584676;185,814650547258;56,25
"241600303";78,703171297778;79,4958325724399;65,7708150517535;74,8296774217408;114,390910976358;112,420398028742;88,0110008175482;109,287484770382;129,739885428964;141,880147566783;278,925768932214;112,5
"241700434";103,273323476213;74,3424799467498;62,6637703743179;53,7373792512973;94,7391426585961;87,8264447313601;104,348335593462;102,183291696212;101,334832113201;97,3486763382738;69,6060489830473;62,5
"241700459";77,4701928462436;86,3513239985653;48,3494449596724;53,7373792512973;95,4494064945906;121,479230818428;100,029743534026;90,8497281086093;100,587555118319;115,456646794808;134,208919144737;50
"241700517";42,5341234472747;95,2705875687438;78,6239558650971;45,8974948971273;111,409313670062;100,071552069297;89,7828077072428;113,557800699562;131,857927338425;110,418256208837;198,692199099346;106,25
"241700624";63,2468057583538;87,2659873237265;41,5224710747579;100,549631177157;119,028693584184;167,633876993625;119,386172381043;115,93210390656;102,392763760961;137,187791920536;110,07096256924;18,75
"241700632";47,507262743104;103,289056684311;63,7934977419769;116,078531745058;116,740111334402;114,031075044491;95,9592556784293;98,9150855697895;150,371056771799;168,549450353192;261,429628298992;93,75
"241700640";74,8383668662114;94,9647694483662;41,9640101670372;77,2845366793554;116,858588556729;131,024640626689;107,357284713903;104,438181564456;109,564814932683;106,725460693804;163,516251178513;56,25
