"epci2018";"SEXE";"FAM_2";"FOR_3";"EMP_1";"EMP_3";"EMP_4"
"200023125";"F";8,41844594814126;11,9210007608349;10,3993661393675;20,6606542391402;12,2137375981429
"200023125";"H";3,52756497498775;14,7225962285242;10,8270593881379;6,98572865370071;11,9675433761862
"200023240";"F";11,8653742284665;17,4369936878153;14,1063520578653;25,1493705617148;15,924802853685
"200023240";"H";5,32433813510081;18,6094084110441;12,64402737916;6,26981082667898;15,8962309380487
"200023299";"F";9,2058362769051;8,06788943997236;7,53315200636132;21,9900933145751;36,4131790176463
"200023299";"H";3,9980946492964;11,6454961282389;6,20682664860673;10,5460155674617;38,5923911861622
"200023307";"F";13,5973227859305;24,6659769982442;17,3149614189056;27,8275501526934;17,4996262390816
"200023307";"H";8,69826628079635;22,9340102103449;16,8212632654977;8,90368011947949;16,8621512002619
"200023372";"F";8,20719626937338;7,28298435658596;5,4900064136411;25,3469525074124;30,8002465542607
"200023372";"H";3,82421940538968;9,56335590037432;4,95026460900307;12,4002525384578;33,8871129326172
"200023414";"F";10,9877946913288;16,5218794415465;16,267149953535;26,6537575608369;15,7284836691753
"200023414";"H";5,72358060709016;18,7226116966933;17,5667326981762;8,14262791558587;14,5989164367632
"200023620";"F";8,51285190344893;12,1784879513107;8,82439140146653;30,3200591643878;16,198523812528
"200023620";"H";3,3494023906823;13,0698114263044;6,87570860426121;10,7091552520053;14,589211693191
"200023737";"F";8,52670945246546;16,5134514532463;14,4857241726913;26,9577268269119;14,5882967465986
"200023737";"H";5,54983217880324;20,5920968466761;15,5618977995809;9,13879585391658;14,709988043937
"200023778";"F";9,17294192898882;20,1744895481726;15,6721289883221;32,6017487503432;16,0571531922647
"200023778";"H";3,85194382676501;18,4039050690011;12,2659072286411;6,40474646631736;15,6045760160052
"200023794";"F";13,5373597672886;23,5219374046449;16,8668612539827;34,0879660466126;21,2208214077219
"200023794";"H";5,75326545424486;23,3629449656795;12,870393430432;10,5113857032404;16,4515462568192
"200023919";"F";11,7312384909774;20,7093665974468;15,6018083892376;26,8447876662403;17,9897462396986
"200023919";"H";4,04777402454639;22,2948774252233;13,1004697549716;8,31335220028684;12,4698868885695
"200026573";"F";12,1571074493204;20,4964174711001;13,9976161506764;26,4813108592442;15,4722316516378
"200026573";"H";4,28904365619273;17,7299799112024;13,7066099161337;7,53056176972731;15,3863834761794
"200027027";"F";8,52292739692068;14,2803112083608;12,2682410430976;31,9164262291384;18,8486864064504
"200027027";"H";5,25886986895964;16,9620582077127;10,7517442586849;6,3763255816286;15,4584171573047
"200027076";"F";11,5681412109179;24,3953048334056;13,5414654096057;30,4690997370303;17,0369313161257
"200027076";"H";5,90349021545654;24,8557127417593;12,3921235467135;6,15900249881744;16,3150248894714
"200027100";"F";13,2799072431982;19,2739494382954;14,6582493060879;25,1579756091346;15,8107265262765
"200027100";"H";6,80934405329195;20,0906230644534;12,8361200126339;7,79687827301038;15,2894558257252
"200027183";"F";18,2259533015488;27,1933775716075;21,2021936261491;28,6561858205739;16,4319614444607
"200027183";"H";10,1454943058401;28,3573328332934;20,7326339593158;9,25340114529435;15,8985751518365
"200027217";"F";10,598684057854;26,6167026907953;17,0193379322096;23,3890198932137;15,4895817237722
"200027217";"H";6,08671739744756;24,2507154589831;14,3060508157866;10,092249890565;15,4454137915292
"200027308";"F";9,37470807726865;17,4242597608119;11,0959789384267;31,8875633447751;18,9002610606032
"200027308";"H";2,41100474150927;16,5741580942297;8,28724941920152;6,01318754860808;12,6702385920104
"200027548";"F";19,3512378524031;27,2025360412097;38,3603801389113;18,3152067914041;25,2200962842881
"200027548";"H";6,68331065300831;24,5323881267006;21,8251002183557;6,74543726246649;19,9585930828233
"200029734";"F";10,7183469824441;23,414671422583;12,7145674333743;32,1161318983288;20,6330198794033
"200029734";"H";4,23514550256821;16,7644798856965;10,75897325671;9,96347946576818;16,8935278490748
"200029999";"F";9,60742693290151;17,9992366803966;11,9910275790031;32,1150596606718;16,4772444423749
"200029999";"H";2,79972383996975;14,9700270872208;10,7654914940154;7,38123697156464;15,4364783277251
"200030195";"F";12,7880668647402;16,2465694305668;14,4999879820547;25,1955757055267;13,7233924219927
"200030195";"H";6,52318912020243;18,6684190702257;13,5919349613659;9,50457050314054;13,7423423899151
"200030385";"F";10,0080465220754;17,754875578226;13,2467171856403;23,3097994196347;15,3133344837427
"200030385";"H";5,26779306053037;16,9346728027283;13,220007968291;7,17980904431779;14,2370285162374
"200030435";"F";10,5886615761905;19,9361145910977;14,2342908761975;28,8291068014103;18,9594623501057
"200030435";"H";6,26048800377875;18,0147387663226;11,9633660549806;7,62707624197443;14,8019803543929
"200030526";"F";9,02734901483989;18,045780612757;12,3742878909297;33,7392668885617;18,0085749232276
"200030526";"H";2,87437187082109;15,00876175295;9,35728833393948;5,18754941932087;14,3212324377828
"200030633";"F";16,6763428316568;28,1475205105947;22,2291464006895;29,756985177477;19,1410510637552
"200030633";"H";6,68025197132283;27,8286224901581;20,6735744945739;8,73557043571872;16,9473939741742
"200030658";"F";7,92118984274331;10,1193463834419;10,2342094635365;44,3401475970242;22,4351585371629
